Día,Mes,Año,Dolar_Compra,Dolar_Venta,EBORU_Dolar_Compra,EBORU_Dolar_Venta,Euro_Compra,Euro_Venta,Arg_Compra,Arg_Venta,Br_Compra,Br_Venta
12,Set,2017,28.3,29.3,28.59,29,33.03,36.04,1.28,1.98,8.46,9.66
13,Set,2017,28.39,29.29,28.63,29.04,33.15,36.04,1.29,1.99,8.37,9.57
14,Set,2017,28.53,29.43,28.77,29.19,33.07,35.95,1.3,2,8.42,9.62
15,Set,2017,28.53,29.43,28.72,29.23,33.16,36.04,1.31,2.01,8.46,9.66
18,Set,2017,28.45,29.35,28.65,29.2,33.15,36.05,1.3,2,8.45,9.65
19,Set,2017,28.42,29.32,28.62,29.14,33.16,36.05,1.29,1.99,8.39,9.59
20,Set,2017,28.44,29.34,28.63,29.15,33.3,36.2,1.29,1.99,8.39,9.59
21,Set,2017,28.4,29.3,28.59,29.11,32.9,35.78,1.28,1.98,8.36,9.56
22,Set,2017,28.43,29.33,28.62,29.13,33.12,36.01,1.27,1.97,8.36,9.56
25,Set,2017,28.4,29.3,28.59,29.1,33.11,36.11,1.27,1.97,8.4,9.6
26,Set,2017,28.42,29.32,28.61,29.13,32.86,35.73,1.25,1.95,8.32,9.52
27,Set,2017,28.5,29.4,28.67,29.2,32.81,35.68,1.25,1.95,8.31,9.51
28,Set,2017,28.71,29.61,28.9,29.41,32.93,35.8,1.27,1.97,8.32,9.52
29,Set,2017,28.54,29.54,28.78,29.3,32.82,35.81,1.26,1.96,8.3,9.5
2,Oct,2017,28.45,29.55,28.75,29.3,32.83,35.93,1.28,1.98,8.33,9.53
3,Oct,2017,28.55,29.65,28.85,29.35,32.73,35.82,1.28,1.98,8.4,9.6
4,Oct,2017,28.61,29.71,28.9,29.41,32.81,35.9,1.28,1.98,8.44,9.64
5,Oct,2017,28.64,29.64,28.87,29.4,32.87,35.85,1.28,1.98,8.47,9.67
6,Oct,2017,28.68,29.68,28.9,29.42,32.76,35.73,1.28,1.98,8.43,9.63
9,Oct,2017,28.71,29.61,28.9,29.41,32.88,35.73,1.27,1.97,8.4,9.6
10,Oct,2017,28.78,29.78,29,29.55,33,35.99,1.28,1.98,8.37,9.57
11,Oct,2017,28.78,29.78,29.01,29.53,33.16,36.15,1.28,1.98,8.39,9.59
12,Oct,2017,28.88,29.88,29.1,29.63,33.44,36.47,1.29,1.99,8.45,9.65
13,Oct,2017,28.87,29.87,29.11,29.63,33.35,36.36,1.29,1.99,8.44,9.64
17,Oct,2017,28.9,29.9,29.14,29.66,33.33,36.34,1.3,2,8.51,9.71
18,Oct,2017,28.91,29.91,29.16,29.67,33.21,36.21,1.3,2,8.47,9.67
19,Oct,2017,29,30,29.25,29.77,33.38,36.41,1.3,2,8.47,9.67
20,Oct,2017,29.08,30.08,29.33,29.85,33.57,36.6,1.3,2,8.49,9.69
23,Oct,2017,29.1,30.1,29.33,29.85,33.45,36.48,1.3,2,8.45,9.65
24,Oct,2017,29.13,30.13,29.13,30.13,33.37,36.37,1.3,2,8.34,9.54
25,Oct,2017,26.16,30.16,29.3,29.91,33.47,36.5,1.3,2,8.32,9.52
26,Oct,2017,28.94,29.94,29.19,29.7,33.35,36.36,1.29,1.99,8.26,9.46
27,Oct,2017,28.97,29.87,29.16,29.68,33.95,35.8,1.27,1.97,8.14,9.34
30,Oct,2017,28.93,29.83,29.13,29.64,32.76,35.6,1.27,1.97,8.24,9.44
31,Oct,2017,28.76,29.61,28.92,29.43,32.68,35.46,1.25,1.95,8.07,9.27
1,Nov,2017,28.78,29.58,28.97,29.39,32.74,35.46,1.26,1.96,8.11,9.31
3,Nov,2017,28.78,29.58,28.96,29.39,32.64,35.36,1.26,1.96,8.12,9.32
6,Nov,2017,28.8,29.6,28.98,29.43,32.63,35.35,1.26,1.96,8.03,9.23
7,Nov,2017,28.78,29.58,28.95,29.37,32.62,35.34,1.26,1.96,8.14,9.34
8,Nov,2017,28.79,29.59,28.98,29.4,32.54,35.25,1.26,1.96,8.1,9.3
9,Nov,2017,28.75,29.55,28.95,29.36,32.53,35.24,1.27,1.97,8.13,9.33
10,Nov,2017,28.8,29.6,28.8,29.6,32.74,35.47,1.27,1.97,8.14,9.34
13,Nov,2017,28.83,29.63,29.03,29.44,32.81,35.54,1.27,1.97,8.1,9.3
14,Nov,2017,28.89,29.69,29.09,29.5,32.9,35.63,1.28,1.98,8.07,9.27
15,Nov,2017,28.99,29.79,29.19,29.6,33.39,36.15,1.28,1.98,8.08,9.28
16,Nov,2017,29.09,29.89,29.29,29.7,33.51,36.28,1.29,1.99,8.09,9.29
17,Nov,2017,28.97,29.77,29.16,29.57,33.26,36.02,1.28,1.98,8.14,9.34
20,Nov,2017,28.91,29.81,29.11,29.62,33.28,36.17,1.28,1.98,8.18,9.38
21,Nov,2017,28.93,29.83,29.12,29.63,33.14,36.01,1.29,1.99,8.2,9.4
22,Nov,2017,28.89,29.79,29.09,29.6,33.12,36,1.28,1.98,8.21,9.41
23,Nov,2017,28.8,29.8,29.04,29.55,33.17,36.17,1.28,1.98,8.24,9.44
24,Nov,2017,28.55,29.75,28.89,29.4,33.02,36.26,1.28,1.98,8.23,9.43
27,Nov,2017,28.4,29.7,28.82,29.29,33.06,36.44,1.28,1.98,8.17,9.37
28,Nov,2017,28.25,29.6,28.65,29.17,32.81,36.23,1.27,1.97,8.16,9.36
29,Nov,2017,28.2,29.6,28.66,29.2,32.64,36.11,1.27,1.97,8.18,9.38
30,Nov,2017,28.25,29.65,28.65,29.22,32.7,36.18,1.26,1.96,8.12,9.32
1,Dic,2017,28.26,29.66,28.65,29.26,32.81,36.16,1.28,1.98,8.09,9.29
4,Dic,2017,28.26,29.66,28.65,29.26,32.81,36.3,1.28,1.98,8.09,9.29
5,Dic,2017,28.29,29.69,28.68,29.29,32.72,36.19,1.27,1.97,8.12,9.32
6,Dic,2017,28.27,29.67,28.66,29.28,32.57,36.03,1.28,1.98,8.15,9.35
7,Dic,2017,28.26,29.66,28.66,29.27,32.52,35.97,1.28,1.98,8.14,9.34
8,Dic,2017,28.23,29.83,28.71,29.34,32.48,36.18,1.28,1.98,8.02,9.22
11,Dic,2017,28.14,29.74,28.62,29.23,32.31,35.99,1.28,1.98,7.98,9.18
12,Dic,2017,28.1,29.7,28.59,29.21,32.34,36.02,1.28,1.98,7.95,9.15
13,Dic,2017,28.1,29.7,28.57,29.2,32.17,35.84,1.27,1.97,7.89,9.09
14,Dic,2017,28,29.6,28.49,29.11,32.23,35.9,1.27,1.97,7.87,9.07
15,Dic,2017,27.87,29.57,28.4,29.02,32.09,35.89,1.25,1.95,7.81,9.01
18,Dic,2017,27.9,29.5,28.4,29.01,32.01,35.67,1.24,1.94,7.87,9.07
19,Dic,2017,27.98,29.58,28.47,29.09,32.21,35.89,1.24,1.94,7.93,9.13
20,Dic,2017,27.98,29.58,28.47,29.08,32.34,36.04,1.24,1.94,7.93,9.13
21,Dic,2017,27.97,29.57,28.46,29.07,32.43,36.13,1.23,1.93,7.93,9.13
22,Dic,2017,28.05,29.65,28.45,29.2,32.46,36.16,1.22,1.92,7.92,9.12
26,Dic,2017,27.96,29.56,28.45,29.06,32.34,36.04,1.2,1.9,7.82,9.02
27,Dic,2017,28.25,29.35,28.5,29.11,32.71,35.81,1.18,1.88,7.88,9.08
28,Dic,2017,28.27,29.27,28.47,29.09,32.83,35.82,1.17,1.87,7.88,9.08
29,Dic,2017,28.41,29.16,28.52,29.04,33.15,35.86,1.11,1.81,7.88,9.08
2,Ene,2018,28.35,29.05,28.46,28.92,33.23,35.89,1.15,1.85,7.86,9.06
3,Ene,2018,28.32,29.04,28.44,28.92,33.3,35.99,1.17,1.87,7.99,9.19
4,Ene,2018,28.28,28.98,28.41,28.86,33.18,35.84,1.16,1.86,8.03,9.23
5,Ene,2018,28.25,28.95,28.37,28.82,33.27,35.94,1.15,1.85,8.03,9.23
8,Ene,2018,28.26,28.96,28.41,28.82,33.23,35.89,1.13,1.83,8.03,9.23
9,Ene,2018,28.27,28.97,28.42,28.83,32.99,35.64,1.12,1.82,8.02,9.22
10,Ene,2018,28.31,29.01,28.45,28.87,32.97,35.61,1.12,1.82,8.01,9.21
11,Ene,2018,28.28,28.98,28.43,28.85,32.99,35.63,1.15,1.85,8.04,9.24
12,Ene,2018,28.23,28.93,28.38,28.8,33.17,35.83,1.14,1.84,8.07,9.27
15,Ene,2018,28.23,28.93,28.37,28.78,33.53,36.22,1.14,1.84,8.1,9.3
16,Ene,2018,28.19,28.89,28.35,28.73,33.76,36.48,1.13,1.83,8.07,9.27
17,Ene,2018,28.22,28.92,28.22,28.92,33.79,36.51,1.12,1.82,8.04,9.24
18,Ene,2018,28.22,28.92,28.35,28.77,33.79,36.51,1.13,1.83,8.07,9.27
19,Ene,2018,28.2,28.9,28.34,28.76,33.65,36.34,1.12,1.82,8.08,9.28
22,Ene,2018,28.15,28.85,28.29,28.7,33.62,36.31,1.11,1.81,8.09,9.29
23,Ene,2018,28.12,28.82,28.26,28.64,33.62,36.31,1.1,1.8,8.05,9.25
